month,customer_id,name,region,currency,plan,seats,mrr_local,signup_month
2024-04,C0099,Customer 0099,amer,USD,Starter,6,180,2023-10
2024-04,C0103,Customer 0103,emea,EUR,Starter,60,1800,2024-02
2024-04,C0106,Customer 0106,amer,USD,Starter,25,750,2024-04
2024-04,C0111,Customer 0111,amer,USD,Starter,20,600,2024-04
2024-04,C0124,Customer 0124,amer,CAD,Growth,25,2250,2023-12
2024-04,C0129,Customer 0129,amer,CAD,Growth,8,720,2024-03
2024-04,C0135,Customer 0135,emea,EUR,Starter,9,270,2023-12
2024-04,C0149,Customer 0149,amer,USD,Scale,12,2880,2024-04
2024-05,C0001,Customer 0001,amer,CAD,Enterprise,5,3000,2024-05
2024-05,C0008,Customer 0008,amer,USD,Growth,101,9090,2023-10
2024-05,C0011,Customer 0011,amer,USD,Starter,20,600,2023-12
2024-05,C0014,Customer 0014,amer,USD,Starter,7,210,2023-07
2024-05,C0022,Customer 0022,amer,USD,Enterprise,12,7200,2024-01
2024-05,C0023,Customer 0023,amer,USD,Enterprise,20,12000,2023-07
2024-05,C0024,Customer 0024,amer,USD,Starter,12,360,2024-02
2024-05,C0025,Customer 0025,emea,GBP,Growth,12,1080,2024-05
2024-05,C0030,Customer 0030,emea,GBP,Starter,3,90,2023-11
2024-05,C0032,Customer 0032,emea,GBP,Starter,11,330,2023-09
2024-05,C0035,Customer 0035,amer,USD,Enterprise,40,24000,2024-05
2024-05,C0037,Customer 0037,amer,CAD,Growth,20,1800,2023-12
2024-05,C0038,Customer 0038,emea,GBP,Growth,25,2250,2024-05
2024-05,C0044,Customer 0044,amer,CAD,Starter,48,1440,2023-08
2024-05,C0048,Customer 0048,emea,EUR,Growth,5,450,2024-05
2024-05,C0049,Customer 0049,emea,EUR,Growth,60,5400,2024-01
2024-05,C0057,Customer 0057,amer,USD,Growth,11,990,2024-01
2024-05,C0060,Customer 0060,amer,USD,Growth,40,3600,2024-04
2024-05,C0061,Customer 0061,amer,USD,Starter,17,510,2023-08
2024-05,C0068,Customer 0068,amer,USD,Growth,5,450,2024-01
2024-05,C0073,Customer 0073,emea,GBP,Growth,25,2250,2024-04
2024-05,C0075,Customer 0075,emea,GBP,Enterprise,65,39000,2023-11
2024-05,C0089,Customer 0089,emea,GBP,Starter,12,360,2024-05
2024-05,C0091,Customer 0091,amer,USD,Growth,26,2340,2023-08
2024-05,C0092,Customer 0092,amer,USD,Starter,10,300,2024-03
2024-05,C0094,Customer 0094,emea,GBP,Starter,12,360,2023-07
2024-05,C0099,Customer 0099,amer,USD,Starter,5,150,2023-10
2024-05,C0103,Customer 0103,emea,EUR,Starter,60,1800,2024-02
2024-05,C0106,Customer 0106,amer,USD,Starter,25,750,2024-04
2024-05,C0111,Customer 0111,amer,USD,Starter,20,600,2024-04
2024-05,C0114,Customer 0114,emea,GBP,Starter,60,1800,2024-05
2024-05,C0124,Customer 0124,amer,CAD,Growth,25,2250,2023-12
2024-05,C0129,Customer 0129,amer,CAD,Growth,6,540,2024-03
2024-05,C0135,Customer 0135,emea,EUR,Starter,9,270,2023-12
2024-05,C0149,Customer 0149,amer,USD,Scale,12,2880,2024-04
2024-06,C0001,Customer 0001,amer,CAD,Enterprise,5,3000,2024-05
2024-06,C0008,Customer 0008,amer,USD,Growth,101,9090,2023-10
2024-06,C0011,Customer 0011,amer,USD,Starter,20,600,2023-12
2024-06,C0014,Customer 0014,amer,USD,Starter,4,120,2023-07
2024-06,C0022,Customer 0022,amer,USD,Enterprise,12,7200,2024-01
2024-06,C0023,Customer 0023,amer,USD,Enterprise,20,12000,2023-07
2024-06,C0024,Customer 0024,amer,USD,Starter,12,360,2024-02
2024-06,C0025,Customer 0025,emea,GBP,Growth,12,1080,2024-05
2024-06,C0030,Customer 0030,emea,GBP,Starter,3,90,2023-11
2024-06,C0035,Customer 0035,amer,USD,Enterprise,40,24000,2024-05
2024-06,C0037,Customer 0037,amer,CAD,Growth,20,1800,2023-12
2024-06,C0038,Customer 0038,emea,GBP,Growth,25,2250,2024-05
2024-06,C0044,Customer 0044,amer,CAD,Starter,48,1440,2023-08
2024-06,C0048,Customer 0048,emea,EUR,Growth,5,450,2024-05
2024-06,C0049,Customer 0049,emea,EUR,Growth,59,5310,2024-01
2024-06,C0057,Customer 0057,amer,USD,Growth,11,990,2024-01
2024-06,C0060,Customer 0060,amer,USD,Growth,40,3600,2024-04
2024-06,C0061,Customer 0061,amer,USD,Starter,17,510,2023-08
2024-06,C0068,Customer 0068,amer,USD,Growth,5,450,2024-01
2024-06,C0073,Customer 0073,emea,GBP,Growth,25,2250,2024-04
2024-06,C0081,Customer 0081,emea,GBP,Scale,3,720,2024-06
2024-06,C0089,Customer 0089,emea,GBP,Starter,12,360,2024-05
2024-06,C0091,Customer 0091,amer,USD,Growth,26,2340,2023-08
2024-06,C0092,Customer 0092,amer,USD,Starter,10,300,2024-03
2024-06,C0094,Customer 0094,emea,GBP,Starter,12,360,2023-07
2024-06,C0099,Customer 0099,amer,USD,Starter,5,150,2023-10
2024-06,C0103,Customer 0103,emea,EUR,Starter,60,1800,2024-02
2024-06,C0105,Customer 0105,amer,USD,Enterprise,5,3000,2024-06
2024-06,C0106,Customer 0106,amer,USD,Starter,26,780,2024-04
2024-06,C0109,Customer 0109,amer,USD,Starter,8,240,2024-06
2024-06,C0111,Customer 0111,amer,USD,Starter,22,660,2024-04
2024-06,C0113,Customer 0113,emea,EUR,Starter,40,1200,2024-06
2024-06,C0114,Customer 0114,emea,GBP,Starter,60,1800,2024-05
2024-06,C0124,Customer 0124,amer,CAD,Growth,25,2250,2023-12
2024-06,C0128,Customer 0128,emea,EUR,Growth,40,3600,2024-06
2024-06,C0129,Customer 0129,amer,CAD,Growth,6,540,2024-03
2024-06,C0135,Customer 0135,emea,EUR,Starter,9,270,2023-12
2024-06,C0146,Customer 0146,emea,EUR,Starter,100,3000,2024-06
2024-06,C0149,Customer 0149,amer,USD,Scale,12,2880,2024-04
2024-07,C0001,Customer 0001,amer,CAD,Enterprise,4,2400,2024-05
2024-07,C0002,Customer 0002,amer,CAD,Growth,10,900,2024-07
2024-07,C0008,Customer 0008,amer,USD,Growth,101,9090,2023-10
2024-07,C0009,Customer 0009,amer,USD,Starter,60,1800,2024-07
2024-07,C0011,Customer 0011,amer,USD,Starter,20,600,2023-12
2024-07,C0014,Customer 0014,amer,USD,Starter,4,120,2023-07
2024-07,C0022,Customer 0022,amer,USD,Enterprise,12,7200,2024-01
2024-07,C0023,Customer 0023,amer,USD,Enterprise,20,12000,2023-07
2024-07,C0024,Customer 0024,amer,USD,Starter,12,360,2024-02
2024-07,C0025,Customer 0025,emea,GBP,Growth,12,1080,2024-05
2024-07,C0030,Customer 0030,emea,GBP,Starter,3,90,2023-11
2024-07,C0035,Customer 0035,amer,USD,Enterprise,40,24000,2024-05
2024-07,C0037,Customer 0037,amer,CAD,Growth,20,1800,2023-12
2024-07,C0038,Customer 0038,emea,GBP,Growth,25,2250,2024-05
2024-07,C0044,Customer 0044,amer,CAD,Starter,48,1440,2023-08
2024-07,C0048,Customer 0048,emea,EUR,Growth,5,450,2024-05
2024-07,C0049,Customer 0049,emea,EUR,Growth,59,5310,2024-01
2024-07,C0053,Customer 0053,emea,EUR,Enterprise,3,1800,2024-07
2024-07,C0054,Customer 0054,amer,CAD,Starter,8,240,2024-07
2024-07,C0057,Customer 0057,amer,USD,Growth,11,990,2024-01
2024-07,C0060,Customer 0060,amer,USD,Growth,40,3600,2024-04
2024-07,C0061,Customer 0061,amer,USD,Starter,17,510,2023-08
2024-07,C0068,Customer 0068,amer,USD,Growth,3,270,2024-01
2024-07,C0073,Customer 0073,emea,GBP,Growth,25,2250,2024-04
2024-07,C0081,Customer 0081,emea,GBP,Scale,3,720,2024-06
2024-07,C0089,Customer 0089,emea,GBP,Starter,12,360,2024-05
2024-07,C0091,Customer 0091,amer,USD,Growth,31,2790,2023-08
2024-07,C0092,Customer 0092,amer,USD,Starter,10,300,2024-03
2024-07,C0094,Customer 0094,emea,GBP,Starter,12,360,2023-07
2024-07,C0099,Customer 0099,amer,USD,Starter,5,150,2023-10
2024-07,C0101,Customer 0101,emea,EUR,Growth,5,450,2024-07
2024-07,C0103,Customer 0103,emea,EUR,Starter,60,1800,2024-02
2024-07,C0105,Customer 0105,amer,USD,Enterprise,5,3000,2024-06
2024-07,C0106,Customer 0106,amer,USD,Starter,26,780,2024-04
2024-07,C0109,Customer 0109,amer,USD,Starter,8,240,2024-06
2024-07,C0111,Customer 0111,amer,USD,Starter,22,660,2024-04
2024-07,C0113,Customer 0113,emea,EUR,Starter,40,1200,2024-06
2024-07,C0114,Customer 0114,emea,GBP,Starter,60,1800,2024-05
2024-07,C0124,Customer 0124,amer,CAD,Growth,25,2250,2023-12
2024-07,C0128,Customer 0128,emea,EUR,Growth,40,3600,2024-06
2024-07,C0129,Customer 0129,amer,CAD,Growth,6,540,2024-03
2024-07,C0135,Customer 0135,emea,EUR,Starter,9,270,2023-12
2024-07,C0146,Customer 0146,emea,EUR,Starter,100,3000,2024-06
2024-07,C0149,Customer 0149,amer,USD,Scale,12,2880,2024-04
2024-08,C0001,Customer 0001,amer,CAD,Enterprise,4,2400,2024-05
2024-08,C0002,Customer 0002,amer,CAD,Growth,10,900,2024-07
2024-08,C0008,Customer 0008,amer,USD,Growth,101,9090,2023-10
2024-08,C0009,Customer 0009,amer,USD,Starter,59,1770,2024-07
2024-08,C0011,Customer 0011,amer,USD,Starter,20,600,2023-12
2024-08,C0014,Customer 0014,amer,USD,Starter,4,120,2023-07
2024-08,C0022,Customer 0022,amer,USD,Enterprise,12,7200,2024-01
2024-08,C0023,Customer 0023,amer,USD,Enterprise,18,10800,2023-07
2024-08,C0024,Customer 0024,amer,USD,Starter,12,360,2024-02
2024-08,C0025,Customer 0025,emea,GBP,Growth,12,1080,2024-05
2024-08,C0030,Customer 0030,emea,GBP,Starter,3,90,2023-11
2024-08,C0035,Customer 0035,amer,USD,Enterprise,40,24000,2024-05
2024-08,C0037,Customer 0037,amer,CAD,Growth,20,1800,2023-12
2024-08,C0038,Customer 0038,emea,GBP,Growth,25,2250,2024-05
2024-08,C0044,Customer 0044,amer,CAD,Starter,48,1440,2023-08
2024-08,C0048,Customer 0048,emea,EUR,Growth,5,450,2024-05
2024-08,C0049,Customer 0049,emea,EUR,Growth,59,5310,2024-01
2024-08,C0053,Customer 0053,emea,EUR,Enterprise,3,1800,2024-07
2024-08,C0054,Customer 0054,amer,CAD,Starter,8,240,2024-07
2024-08,C0057,Customer 0057,amer,USD,Growth,11,990,2024-01
2024-08,C0060,Customer 0060,amer,USD,Growth,40,3600,2024-04
2024-08,C0068,Customer 0068,amer,USD,Growth,3,270,2024-01
2024-08,C0073,Customer 0073,emea,GBP,Growth,25,2250,2024-04
2024-08,C0081,Customer 0081,emea,GBP,Scale,3,720,2024-06
2024-08,C0082,Customer 0082,emea,GBP,Scale,25,6000,2024-08
2024-08,C0089,Customer 0089,emea,GBP,Starter,12,360,2024-05
2024-08,C0091,Customer 0091,amer,USD,Growth,31,2790,2023-08
2024-08,C0092,Customer 0092,amer,USD,Starter,15,450,2024-03
2024-08,C0094,Customer 0094,emea,GBP,Starter,12,360,2023-07
2024-08,C0098,Customer 0098,emea,EUR,Starter,100,3000,2024-08
2024-08,C0099,Customer 0099,amer,USD,Starter,5,150,2023-10
2024-08,C0101,Customer 0101,emea,EUR,Growth,5,450,2024-07
2024-08,C0103,Customer 0103,emea,EUR,Starter,57,1710,2024-02
2024-08,C0105,Customer 0105,amer,USD,Enterprise,5,3000,2024-06
2024-08,C0106,Customer 0106,amer,USD,Starter,26,780,2024-04
2024-08,C0109,Customer 0109,amer,USD,Starter,8,240,2024-06
2024-08,C0111,Customer 0111,amer,USD,Starter,22,660,2024-04
2024-08,C0113,Customer 0113,emea,EUR,Starter,43,1290,2024-06
2024-08,C0114,Customer 0114,emea,GBP,Starter,60,1800,2024-05
2024-08,C0124,Customer 0124,amer,CAD,Growth,25,2250,2023-12
2024-08,C0128,Customer 0128,emea,EUR,Growth,40,3600,2024-06
2024-08,C0135,Customer 0135,emea,EUR,Starter,9,270,2023-12
2024-08,C0139,Customer 0139,emea,GBP,Starter,8,240,2024-08
2024-08,C0146,Customer 0146,emea,EUR,Starter,100,3000,2024-06
2024-08,C0149,Customer 0149,amer,USD,Scale,12,2880,2024-04
2024-09,C0001,Customer 0001,amer,CAD,Enterprise,4,2400,2024-05
2024-09,C0002,Customer 0002,amer,CAD,Growth,10,900,2024-07
2024-09,C0008,Customer 0008,amer,USD,Growth,101,9090,2023-10
2024-09,C0009,Customer 0009,amer,USD,Starter,59,1770,2024-07
2024-09,C0011,Customer 0011,amer,USD,Starter,20,600,2023-12
2024-09,C0014,Customer 0014,amer,USD,Starter,4,120,2023-07
2024-09,C0022,Customer 0022,amer,USD,Enterprise,9,5400,2024-01
2024-09,C0023,Customer 0023,amer,USD,Enterprise,18,10800,2023-07
2024-09,C0024,Customer 0024,amer,USD,Starter,9,270,2024-02
2024-09,C0025,Customer 0025,emea,GBP,Growth,12,1080,2024-05
2024-09,C0030,Customer 0030,emea,GBP,Starter,3,90,2023-11
2024-09,C0034,Customer 0034,amer,USD,Scale,12,2880,2024-09
2024-09,C0035,Customer 0035,amer,USD,Enterprise,41,24600,2024-05
2024-09,C0037,Customer 0037,amer,CAD,Growth,20,1800,2023-12
2024-09,C0038,Customer 0038,emea,GBP,Growth,25,2250,2024-05
2024-09,C0044,Customer 0044,amer,CAD,Starter,48,1440,2023-08
2024-09,C0048,Customer 0048,emea,EUR,Growth,5,450,2024-05
2024-09,C0049,Customer 0049,emea,EUR,Growth,59,5310,2024-01
2024-09,C0053,Customer 0053,emea,EUR,Enterprise,3,1800,2024-07
2024-09,C0054,Customer 0054,amer,CAD,Starter,8,240,2024-07
2024-09,C0056,Customer 0056,emea,EUR,Scale,20,4800,2024-09
2024-09,C0057,Customer 0057,amer,USD,Growth,11,990,2024-01
2024-09,C0060,Customer 0060,amer,USD,Growth,40,3600,2024-04
2024-09,C0066,Customer 0066,amer,USD,Scale,60,14400,2024-09
2024-09,C0068,Customer 0068,amer,USD,Growth,3,270,2024-01
2024-09,C0069,Customer 0069,emea,EUR,Scale,8,1920,2024-09
2024-09,C0073,Customer 0073,emea,GBP,Growth,24,2160,2024-04
2024-09,C0077,Customer 0077,emea,EUR,Scale,60,14400,2024-09
2024-09,C0081,Customer 0081,emea,GBP,Scale,3,720,2024-06
2024-09,C0082,Customer 0082,emea,GBP,Scale,25,6000,2024-08
2024-09,C0089,Customer 0089,emea,GBP,Starter,9,270,2024-05
2024-09,C0091,Customer 0091,amer,USD,Scale,34,8160,2023-08
2024-09,C0092,Customer 0092,amer,USD,Starter,15,450,2024-03
2024-09,C0094,Customer 0094,emea,GBP,Starter,12,360,2023-07
2024-09,C0098,Customer 0098,emea,EUR,Starter,100,3000,2024-08
2024-09,C0099,Customer 0099,amer,USD,Starter,5,150,2023-10
2024-09,C0101,Customer 0101,emea,EUR,Growth,5,450,2024-07
2024-09,C0103,Customer 0103,emea,EUR,Starter,57,1710,2024-02
2024-09,C0105,Customer 0105,amer,USD,Enterprise,5,3000,2024-06
2024-09,C0106,Customer 0106,amer,USD,Starter,26,780,2024-04
2024-09,C0109,Customer 0109,amer,USD,Starter,8,240,2024-06
2024-09,C0110,Customer 0110,amer,USD,Scale,8,1920,2024-09
2024-09,C0111,Customer 0111,amer,USD,Starter,22,660,2024-04
2024-09,C0113,Customer 0113,emea,EUR,Starter,43,1290,2024-06
2024-09,C0114,Customer 0114,emea,GBP,Starter,60,1800,2024-05
2024-09,C0124,Customer 0124,amer,CAD,Growth,25,2250,2023-12
2024-09,C0128,Customer 0128,emea,EUR,Growth,40,3600,2024-06
2024-09,C0135,Customer 0135,emea,EUR,Starter,9,270,2023-12
2024-09,C0139,Customer 0139,emea,GBP,Starter,8,240,2024-08
2024-09,C0146,Customer 0146,emea,EUR,Starter,100,3000,2024-06
2024-09,C0149,Customer 0149,amer,USD,Scale,12,2880,2024-04
2024-10,C0001,Customer 0001,amer,CAD,Enterprise,7,4200,2024-05
2024-10,C0002,Customer 0002,amer,CAD,Growth,10,900,2024-07
2024-10,C0008,Customer 0008,amer,USD,Growth,101,9090,2023-10
2024-10,C0009,Customer 0009,amer,USD,Starter,59,1770,2024-07
2024-10,C0010,Customer 0010,amer,USD,Starter,8,240,2024-10
2024-10,C0011,Customer 0011,amer,USD,Starter,20,600,2023-12
2024-10,C0014,Customer 0014,amer,USD,Starter,4,120,2023-07
2024-10,C0022,Customer 0022,amer,USD,Enterprise,9,5400,2024-01
2024-10,C0023,Customer 0023,amer,USD,Enterprise,18,10800,2023-07
2024-10,C0024,Customer 0024,amer,USD,Starter,8,240,2024-02
2024-10,C0025,Customer 0025,emea,GBP,Growth,12,1080,2024-05
2024-10,C0030,Customer 0030,emea,GBP,Starter,3,90,2023-11
2024-10,C0034,Customer 0034,amer,USD,Scale,12,2880,2024-09
2024-10,C0035,Customer 0035,amer,USD,Enterprise,41,24600,2024-05
2024-10,C0037,Customer 0037,amer,CAD,Growth,20,1800,2023-12
2024-10,C0038,Customer 0038,emea,GBP,Growth,25,2250,2024-05
2024-10,C0044,Customer 0044,amer,CAD,Starter,48,1440,2023-08
2024-10,C0048,Customer 0048,emea,EUR,Growth,5,450,2024-05
2024-10,C0049,Customer 0049,emea,EUR,Growth,59,5310,2024-01
2024-10,C0050,Customer 0050,amer,USD,Starter,5,150,2024-10
2024-10,C0053,Customer 0053,emea,EUR,Enterprise,3,1800,2024-07
2024-10,C0054,Customer 0054,amer,CAD,Starter,8,240,2024-07
